Номер варианта;ID;INCOME_BASE_TYPE;CREDIT_PURPOSE;INSURANCE_FLAG;DTI;SEX;FULL_AGE_CHILD_NUMBER;DEPENDANT_NUMBER;EDUCATION;EMPL_TYPE;EMPL_SIZE;BANKACCOUNT_FLAG;Period_at_work;age;EMPL_PROPERTY;EMPL_FORM;FAMILY_STATUS;max90days;max60days;max30days;max21days;max14days;avg_num_delay;if_zalog;num_AccountActive180;num_AccountActive90;num_AccountActive60;Active_to_All_prc;numAccountActiveAll;numAccountClosed;sum_of_paym_months;all_credits;Active_not_cc;own_closed;min_MnthAfterLoan;max_MnthAfterLoan;dlq_exist;thirty_in_a_year;sixty_in_a_year;ninety_in_a_year;thirty_vintage;sixty_vintage;ninety_vintage
3;1059083;2НДФЛ;Покупка автомобиля;0;0.48;женский;0;0;высшее;торговый представитель;>250;1;8;40;Торговля;ООО;холост / не замужем;4;4;2;0;0;0.12;1;1;1;1;0.4166666667;5;7;176;12;3;2;0;74;1;1;1;1;0;0;0
3;1059103;Поступление зарплаты на счет;Отпуск;0;0.19;женский;0;0;среднее;специалист;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;1059123;Форма банка (без печати работодателя);Ремонт;1;0.35;женский;0;0;незаконченное высшее;специалист;>250;0;131;35;Другое;Государственное предприятие;женат / замужем;1;0;0;0;0;0.1866028708;0;0;0;0;0.25;2;6;170;8;1;4;6;97;1;0;0;0;0;0;0
3;1059143;Поступление зарплаты на счет;Ремонт;0;0.24;мужской;0;0;Высшее/Второе высшее/Ученая степень;специалист;>250;0;12;32;Информационные технологии;Иная форма;женат / замужем;3;2;1;1;1;0.2256637168;0;0;0;0;0.5714285714;4;3;175;7;3;3;18;56;1;0;0;0;0;0;0
3;1059163;Форма банка (без печати работодателя);Ремонт;0;0.2;женский;1;0;второе высшее;менеджер среднего звена;>250;0;77;34;Информационные технологии;ООО;женат / замужем;1;1;1;1;1;0;0;0;0;0;0.6666666667;2;1;43;3;2;1;10;44;0;0;0;0;0;0;0
3;1059183;2НДФЛ;Ремонт;1;0.13;мужской;2;0;высшее;специалист;>250;0;90;33;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;1059203;Поступление зарплаты на счет;Ремонт;1;0.49;женский;1;0;высшее;специалист;>250;0;21;31;Информационные технологии;ООО;женат / замужем;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;
3;1059223;Поступление зарплаты на счет;Покупка автомобиля;0;0.17;мужской;0;0;среднее-специальное;специалист;>250;0;21;24;Другое;ООО;холост / не замужем;1;1;1;1;1;0.0322580645;0;0;0;0;0;0;3;30;3;0;0;10;42;1;0;0;0;0;0;0
3;1059243;Свободная форма с печатью работодателя;Ремонт;1;0.54;женский;1;0;высшее;специалист;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;1059263;Форма банка (без печати работодателя);Обучение;1;0.34;мужской;0;0;высшее;менеджер среднего звена;>250;0;23;34;Строительство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;1059283;Форма банка (без печати работодателя);Отпуск;1;0.47;мужской;1;1;среднее;специалист;>=200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;1059303;Поступление зарплаты на счет;Ремонт;0;0.5;мужской;1;0;Высшее/Второе высшее/Ученая степень;вспомогательный персонал;>250;0;140;33;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;1059323;Поступление зарплаты на счет;Отпуск;1;0.42;мужской;0;0;среднее-специальное;специалист;>250;0;35;32;Торговля;ООО;холост / не замужем;4;4;1;1;1;0.0604395604;0;0;0;0;1;5;0;171;5;3;0;11;99;1;0;0;0;0;0;0
3;1059343;2НДФЛ;Покупка автомобиля;1;0.25;мужской;0;0;высшее;менеджер среднего звена;>100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;1059363;Поступление зарплаты на счет;Покупка мебели;1;0.16;женский;0;0;высшее;специалист;>100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;1059383;2НДФЛ;Покупка автомобиля;1;0.21;женский;0;0;Высшее/Второе высшее/Ученая степень;менеджер высшего звена;< 50;0;65;39;Торговля;ООО;женат / замужем;4;3;1;1;0;0;0;0;0;0;0;0;1;3;1;0;0;11;11;0;0;0;0;0;0;0
3;1059403;Свободная форма с печатью работодателя;Ремонт;1;0.4;женский;0;0;Высшее/Второе высшее/Ученая степень;специалист;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;1059423;Поступление зарплаты на счет;Ремонт;1;0.56;женский;1;0;высшее;менеджер среднего звена;>250;0;106;41;Другое;ЗАО;женат / замужем;3;2;2;1;1;0.0487804878;1;1;0;0;0.2857142857;2;5;117;7;1;0;3;106;1;0;0;0;0;0;0
3;1059443;2НДФЛ;Другое;1;0.25;женский;2;0;высшее;менеджер высшего звена;>250;0;12;41;Торговля;ООО;женат / замужем;5;4;4;4;1;0.0963855422;1;0;0;0;0.3333333333;2;4;75;6;0;0;14;70;1;0;0;0;0;0;0
3;1059463;Форма банка (без печати работодателя);Покупка автомобиля;1;0.14;мужской;1;0;среднее;вспомогательный персонал;>=200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;1059483;2НДФЛ;Покупка недвижимости/ строительство;1;0.38;мужской;2;0;высшее;менеджер среднего звена;>100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;1059503;Поступление зарплаты на счет;Обучение;1;0.32;женский;3;0;среднее-специальное;вспомогательный персонал;>250;1;11;35;Торговля;ООО;повторный брак;1;1;1;1;1;0;0;0;0;0;0.5;1;1;4;2;0;0;17;28;0;0;0;0;0;0;0
3;1059523;Свободная форма с печатью работодателя;Ремонт;1;0.59;мужской;3;0;высшее;менеджер по продажам;< 50;0;21;43;Торговля;Индивидуальный предприниматель;женат / замужем;1;1;1;1;0;0;0;0;0;0;0.5;1;1;115;2;0;0;50;88;0;0;0;0;0;0;0
3;1059543;2НДФЛ;Ремонт;1;0.59;женский;0;0;высшее;специалист;>250;1;26;29;Строительство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;1059563;Форма банка (без печати работодателя);Обучение;0;0.14;женский;0;0;высшее;специалист;>250;0;9;27;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;1059583;Поступление зарплаты на счет;Покупка автомобиля;1;0.44;мужской;1;0;незаконченное высшее;менеджер среднего звена;>250;0;6;25;Другое;ОАО;женат / замужем;0;0;0;0;0;1;0;1;0;0;1;1;0;0;1;0;0;5;5;1;0;0;0;0;0;0
3;1059603;Форма банка (без печати работодателя);Ремонт;0;0.58;мужской;0;0;второе высшее;менеджер высшего звена;>250;0;14;31;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;1059623;Форма банка (без печати работодателя);Покупка земли;1;0.3;мужской;1;0;среднее-специальное;рабочий;>250;0;88;38;Другое;ООО;женат / замужем;0;0;0;0;0;0;0;0;0;0;0;0;3;46;3;0;2;27;47;0;0;0;0;0;0;0
3;1059643;Поступление зарплаты на счет;Ремонт;1;0.55;мужской;1;0;высшее;менеджер среднего звена;>250;0;12;33;Информационные технологии;ООО;повторный брак;0;0;0;0;0;0.0322580645;1;1;0;0;0.125;1;7;90;8;1;1;5;93;1;0;0;0;0;0;0
3;1059663;2НДФЛ;Ремонт;0;0.26;мужской;0;0;высшее;специалист;>=200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;1059683;Форма банка (без печати работодателя);Ремонт;0;0.25;мужской;1;0;высшее;специалист;< 50;0;13;31;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;1059703;Поступление зарплаты на счет;Ремонт;1;0.34;женский;0;0;высшее;специалист;>250;0;24;36;Другое;ООО;холост / не замужем;1;1;1;1;1;0;0;0;0;0;1;1;0;28;1;0;0;27;27;0;0;0;0;0;0;0
3;1059723;Форма банка (без печати работодателя);Ремонт;1;0.45;мужской;0;0;высшее;специалист;>250;0;12;27;Информационные технологии;ОАО;холост / не замужем;3;2;1;1;0;0.0153846154;1;2;2;0;0.125;2;14;192;16;1;2;2;65;1;0;0;0;0;0;0
3;1059743;2НДФЛ;Ремонт;0;0.44;женский;0;0;высшее;специалист;>100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;1059763;Поступление зарплаты на счет;Отпуск;0;0.2;женский;0;0;высшее;специалист;>250;0;74;27;Другое;ЗАО;женат / замужем;1;1;1;1;0;0.0161290323;1;0;0;0;0;0;3;61;3;0;0;21;80;1;0;0;0;0;0;0
3;1059783;Поступление зарплаты на счет;Покупка автомобиля;1;0.59;мужской;2;0;среднее;рабочий;>250;0;49;34;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;1059803;;Ремонт;0;;мужской;0;0;Высшее/Второе высшее/Ученая степень;другое;;0;36;28;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;1059823;2НДФЛ;Ремонт;0;0.49;мужской;0;0;высшее;специалист;>250;3;8;33;Другое;ООО;женат / замужем;3;1;0;0;0;0;0;0;0;0;0.4444444444;4;5;153;9;1;0;12;81;0;0;0;0;0;0;0
